영상제목,유튜버,카테고리
[풀영상] 뉴스광장 : 나흘째 강추위…내일부터 누그러져 - 2024년 1월 25일(목) / KBS, KBS News ,게임
[다시보기] 국민의힘 비상대책위원회의-1월 25일 (목) 풀영상 [이슈현장] / JTBC News, JTBC News ,게임
"한동훈 ""민주당식 가짜뉴스 고발 조치한다""", 젊은시각 ,게임
윤석열에 단타 빅엿 [짧뉴] 박성민 #짧은뉴스, 짧은뉴스 ,게임
"[자막뉴스] ""헤어졌다더니 불륜녀와 스위스?"" 폭발한 아내의 '칼부림' (2024.01.21/MBC뉴스)", MBCNEWS ,게임
막말 망언 특허 국민의힘 허식 [짧뉴] 오윤혜 신장식 #짧은뉴스, 짧은뉴스 ,게임
중범죄 저지르고 사과하면 끝나는 대한민국 [짧뉴] 김건희 특검 #짧은뉴스, 짧은뉴스 ,게임
종이배처럼 떠내려갔다…북극 한파 지나간 미국 상황 / SBS 8뉴스, SBS 뉴스 ,게임
[날씨] 전국에 한파주의보…호남 서부 등 15cm↑ 큰 눈 / SBS, SBS 뉴스 ,게임
세계 최초 '질소 가스 사형' 임박…커지는 논란 / SBS / #D리포트, SBS 뉴스 ,게임
시작의 본질이 사기였던 윤석열 [짧뉴] 조수진 변호사 #짧은뉴스, 짧은뉴스 ,게임
"""윤석열, 거부권 빼고 하는 일이 없어"" [짧뉴] 이언주 #짧은뉴스", 짧은뉴스 ,게임
김건희 비리 가스라이팅 [짧뉴] 권은희 #짧은뉴스, 짧은뉴스 ,게임
"[자막뉴스] ""저 아이 왜 저래!"" 달려간 여성, 황급히 수영장서 꺼냈지만.. (MBC뉴스)", MBCNEWS ,게임
"수도권 교통망 134조원 투입…""출근 30분 시대 열겠다"" / JTBC 뉴스룸", JTBC News ,게임
[쩜상 시크릿] 긴급! 2차전지(에코프로/포스코)에 물린 사람 모여라! 종목진단 & 반등 시점은?(ft 마제스터), 토마토증권통 ,게임
"""사과"" 봇물에도 ""몰카 공작""..""수도권 선거 어쩌라고"" 탄식 [뉴스.zip/MBC뉴스]", MBCNEWS ,게임
"윤 대통령, '명품 가방 수수' 입장 발표 시기·방법 고심 - [LIVE] MBC 뉴스투데이 2024년 1월 25일", MBCNEWS ,게임
[자막뉴스] 야금야금 빼간 6천만 원... 신종 스미싱 사기 '주의' / YTN,  YTN ,게임
"[자막뉴스] ""오늘 그날이지? 실험실 가자"" 공포의 생일파티에 '경악' (2024.01.20/MBC뉴스)", MBCNEWS ,게임
이재명 대표 암살 살인 미수범 옹호 행태 [짧뉴] 서영교 #짧은뉴스, 짧은뉴스 ,게임
"사고나면 '활활'..다 태우는 '열폭주', 소방관도 난감..'열폭주'는 못 막나? - [핫이슈PLAY] MBC뉴스 2024년 1월 25일", MBCNEWS ,게임
"[풀영상] 뉴스9 : 한동훈 사퇴 요구에 ""국민 보고 나선 길, 할 일 하겠다"" – 2024년 1월 21일(일) / KBS", KBS News ,게임
"""한동훈 사퇴? 100% 쇼!! 속을 국민 있나?"" [짧뉴] 정청래 #짧은뉴스", 짧은뉴스 ,게임
김건희 리스크에 직격타 박는 백운기 [짧뉴] #짧은뉴스, 짧은뉴스 ,게임
"미녀 만나려고 데이팅앱 썼다가…약 먹이고 탈탈 털리는 건 기본, 살해도｜지금 이 뉴스", JTBC News ,게임
"[현장영상+] 한동훈, 김경율 사퇴 질문에 ""그런 얘기 들은 바 없어"" / YTN",  YTN ,게임
[자막뉴스] 재건축 빨라지나 했는데...주민 갈등 터지나 / YTN,  YTN ,게임
"[자막뉴스] ""헤어졌다더니 불륜녀와 스위스?"" 폭발한 아내의 '칼부림' (2024.01.21/MBC뉴스)", MBCNEWS ,게임
"[더뉴스] 이준석-양향자 합당 선언...""공통 목표 가지고 활동"" / YTN",  YTN ,게임
"[뉴스 '꾹'] 현근택 ""피해자 측이 불출마 요구..불응하자 바로 '성희롱' 보도"" (2024.01.11/MBC뉴스)", MBCNEWS ,게임
[풀영상] 뉴스9 : ‘개혁신당’ 창당 3세력 총출동…“빅텐트 골든타임 지나” – 2024년 1월 20일(토) / KBS, KBS News ,게임
"['백토' 이 뉴스] ""귀를 완전히 막아..대통령실 참모들 제 말 보고하세요!"" 열변 토한 유시민 (2024.01.17/MBC뉴스)", MBCNEWS ,게임
"[LIVE] 국민의힘 의원총회…""50인 미만 사업장 중대재해처벌법 적용 유예·쌍특검 법안 재표결""/2024년 1월 25일(목)/KBS", KBS News ,게임
GTX로 수도권 출퇴근 30분 시대?... 교통격차 해소에 134조원 쏟는다 [이슈PLAY] / JTBC News, JTBC News ,게임
"기암괴석 스프레이 낙서 ""잡고 보니 60대 여성"" #Shorts (MBC뉴스)", MBCNEWS ,게임
[다시보기] 더불어민주당 인재영입식-1월 24일 (수) 풀영상 [이슈현장] / JTBC News, JTBC News ,게임
장병들 만난 이재명…“이-양 합당” 제3지대 통합 잰걸음 / KBS  2024.01.25., KBS News ,게임
장병들 만난 이재명…“이-양 합당” 제3지대 통합 잰걸음 / KBS  2024.01.24., KBS News ,게임
"한동훈에 사퇴 요구…""할 일 하겠다"" / SBS 8뉴스", SBS 뉴스 ,게임
"[풀영상] 뉴스광장 : 북, 사흘째 서해 포격…대남 심리전까지 - 2024년 1월 8일(월) / KBS", KBS News ,게임
여야 합의 불발‥'중대재해법' 27일 전면 시행 - [LIVE] MBC 뉴스데스크 2024년 01월 25일, MBCNEWS ,게임
[다시보기] 더불어민주당 의원총회-1월 25일 (목) 풀영상 [이슈현장] / JTBC News, JTBC News ,게임
갈등 일단 봉합‥'김여사·김경율' 불씨 그대로 - [LIVE] MBC 뉴스데스크 2024년 01월 24일, MBCNEWS ,게임
"[TV CHOSUN LIVE] 1월 25일 (목) 시사쇼 정치다 - 한동훈-이재명, 직무 평가는?", 뉴스TVCHOSUN ,게임
"울산시, '새들의 사파리' 조성 추진…가능성은? / SBS", SBS 뉴스 ,게임
🔴Sau Baat Ki Ek Baat LIVE: Kishore Ajwani | Earthquake | Ram Mandir | Congress | Somalia Hijack |War, News18 India ,게임
"""아... 이렇게도 하는구나"" 보이스피싱 실제 대화 [제보영상] / YTN",  YTN ,게임
"이준석 “한동훈, 36계 줄행랑이 답이다!” #shorts #뉴스IN #뉴스인 #시사IN #시사인 #박지원 #이준석 #한동훈 #윤석열 #비대위원장 #김기현", 시사IN(시사인) ,게임
[다시보기] 국민의힘 의원총회-1월 25일 (목) 풀영상 [이슈현장] / JTBC News, JTBC News ,게임
"""트레이너가 강제 추행"" vs ""고의성 없다""…당시 영상엔 / SBS", SBS 뉴스 ,게임
"[이슈정주행] 시민 159명 사망 앞, 재난 대응 주무장관의 혐의는 없습니다 / JTBC News", JTBC News ,게임
[뉴스라이더] 비명 지역구 잇단 친명 '출사표'...비명계 '비명' / YTN,  YTN ,게임
[날씨] 기세 꺾였지만 한파 이틀 더...다음 주엔 예년날씨 회복 / YTN,  YTN ,게임
"[다시보기] 윤 대통령, 법무부장관 후보자에 박성재 전 서울고검장 지명-1월 23일 (화) 풀영상 [이슈현장] / JTBC News", JTBC News ,게임
"〈노른자정치-홍석준·김한규〉 ""화재로 정쟁?""…""화재 현장서 화해?"" │2024년 1월 24일 라디오쇼 정치시그널", 채널A 뉴스 ,게임
टीम इंडिया ने प्रेक्टिस मे  दिखाया दम ! MP NEWS, MP News TV ,게임
[심층분석] - 철부지 한동훈과 존재감 없는 이낙연의 빈텐트 쑈, 시사타파TV ,게임
윤석열이 숨기고 싶어한 건 대체 뭘까? #변희재, 변희재 Unofficial ,게임
아뉴스 데이, YouTube 영화 1시간 55,게임
배드 뉴스 베어즈 (2005), YouTube 영화 1시간 53,게임
출처 MBC뉴스데스크: 미성년인 척 12살에게 접근해 성폭행한 20대   　　　　　　　　　　　　　　　　　　　　　　     #뉴스  #mbc #mbc뉴스 #미성년 #성폭행 #오픈채팅, 뉴스튭 ,게임
🔴😱Today morning headlines Tamil news|இன்று காலை நேர தலைப்பு செய்திகள்|, Bro News ,게임
중범죄자 김건희에 폭발한 대학생 [짧뉴] #짧은뉴스, 짧은뉴스 ,게임
우크라이나의 격추? 러시아의 자작극? 러 수송기 추락 커지는 미스터리…우크라 포로 등 74명 전원 사망 (현장영상) / SBS, SBS 뉴스 ,게임
[LIVE] '50인 미만' 중대재해법 유예 불발 관련 노동부 브리핑 /2024년 1월 25일(목)/KBS, KBS News ,게임
🔴Sau Baat Ki Ek Baat LIVE: Kishore Ajwani | Eknath Shinde | Ram Mandir | Congress | Somalia Hijack, News18 India ,게임
쉬핑 뉴스, YouTube 영화 1시간 51,게임
【ウクライナ侵攻】“日常”続くロシア国内  市民生活は…, 日テレNEWS ,게임
ਕਣਕ ਦਾ ਆਟਾ ਕਿਵੇਂ ਬਣਿਆ ਜ਼ਹਿਰ, Nirpakh Post ,게임
Perang Israel-Hamas Kini Disebut Momen Berbahaya & Situasi Semakin Memburuk Seiring Waktu Berjalan, Tribun Video ,게임
"김어준의 겸손은힘들다 뉴스공장 + 탁현민의 오바타임 15회ㅣ1월 26일 금요일 [황정아, 더 살롱, 미디어감찰반, 금요미식회, 한영애 금요음악회, 더라운지, 지식의 낭비,新상털기]", 김어준의 겸손은힘들다 뉴스공장 ,게임
NOTÍCIAS: O que é ser PATRIOTA DE VERDADE; Reinaldo Azevedo JANTANDO MORO; 10 DEPUTADOS CORRUPTOS!!, MADERADA BRASIL ,게임
"[현장영상+] 의료진 ""배현진, 두피 열상 1차 봉합...병실에서 안정 중"" / YTN",  YTN ,게임
WALANG  KASALANAN ANG KONSTITUSYON | DEÄTH WISH SA P.I. (PEOPLE'S INITIATIVE) PA-TAOBIN ANG P.I., Batas with Atty. Claire Castro ,게임
NAKAKATINDIG BALAHIBO NOGRALES WALANG HIYA SOBRANG KAPAL NG MUKHA-BADOY MARCOLETA NAGSALITA NA, FOODIE NETH ,게임
"윤 대통령, 직접 입장 밝히나 / 한동훈은 대학으로, 이재명은 군부대로 / 이준석, 유승... / YTN",  YTN ,게임
신속한 피해 복구를 위해 정부가 최선을 다하겠습니다 [충남 서천 특화시장 화재 현장점검], 윤석열 ,게임
"오늘 아침 서울 체감 영하21도, 대관령 영하31도..호남서부 최대 20cm, 제주 산간 최대 60cm 이상 폭설 - [끝까지LIVE] MBC뉴스 2024년 01월 23일", MBCNEWS ,게임
"【24/01/26】🔴[LIVE 뉴스버스]검사의 공갈? ""포렌식서 다른것 나오면 어쩔래?""", 뉴스버스 ,게임
War Live: America से पंगा Iran को पड़ा भारी! बदल गया युद्ध का सीन! | World War 3 | Biden | Raisi, TV9 Bharatvarsh ,게임
[짧은자막뉴스] '자파 현상'이 뭐길래…억장 터진 테슬라 차주들 / #뉴스, 합동뉴스 ,게임
[짧은자막뉴스] '자파 현상'이 뭐길래…억장 터진 테슬라 차주들 / #뉴스, 합동뉴스 ,게임
[짧은자막뉴스] '자파 현상'이 뭐길래…억장 터진 테슬라 차주들 / #뉴스, 합동뉴스 ,게임
“비싼데 뭐 하러 쓰나요?” 올라간 배달료 민심 잃다. #뉴스, 이슈꽉 ,게임
“비싼데 뭐 하러 쓰나요?” 올라간 배달료 민심 잃다. #뉴스, 이슈꽉 ,게임
“비싼데 뭐 하러 쓰나요?” 올라간 배달료 민심 잃다. #뉴스, 이슈꽉 ,게임
“비싼데 뭐 하러 쓰나요?” 올라간 배달료 민심 잃다. #뉴스, 이슈꽉 ,게임
“비싼데 뭐 하러 쓰나요?” 올라간 배달료 민심 잃다. #뉴스, 이슈꽉 ,게임
"[짧은자막뉴스] ‘살아남는 법’까지 등장했다...백두산, 섬뜩한 폭발 시나리오 지금 이 이슈/ #뉴스", K레전드이슈 ,게임
"[짧은자막뉴스] ‘살아남는 법’까지 등장했다...백두산, 섬뜩한 폭발 시나리오 지금 이 이슈/ #뉴스", K레전드이슈 ,게임
"[짧은자막뉴스] ‘살아남는 법’까지 등장했다...백두산, 섬뜩한 폭발 시나리오 지금 이 이슈/ #뉴스", K레전드이슈 ,게임
"[짧은자막뉴스] ‘살아남는 법’까지 등장했다...백두산, 섬뜩한 폭발 시나리오 지금 이 이슈/ #뉴스", K레전드이슈 ,게임
"[짧은자막뉴스] ‘살아남는 법’까지 등장했다...백두산, 섬뜩한 폭발 시나리오 지금 이 이슈/ #뉴스", K레전드이슈 ,게임
이란의 첫 직접공격..중동전쟁 시작되는가 / #뉴스, 이슈꽉 ,게임
이란의 첫 직접공격..중동전쟁 시작되는가 / #뉴스, 이슈꽉 ,게임
이란의 첫 직접공격..중동전쟁 시작되는가 / #뉴스, 이슈꽉 ,게임
“비싼데 뭐 하러 쓰나요?” 올라간 배달료 민심 잃다. #뉴스, 이슈꽉 ,게임
"[뉴스속보] 베트남에서 마약 유통하던 한국2명, 사형 선고", 오늘의 늬우스 ,게임
"[뉴스속보] 베트남에서 마약 유통하던 한국2명, 사형 선고", 오늘의 늬우스 ,게임
rusdan jatuh di kerjain temenya😭, RUSDAN CHANNEL ,게임
